AthleteGUID,CompetitionID,EventID,dateid,EventName,Terrain,PerformanceValues,PerformanceUnits,CompPosition,CompRound,CompName,CompVenue,ValidPerformance,EventWind,AthleteName,AthleteGender,Nationality
1469674,134418,2988487,22/08/2023,800m,outdoor,111.62,seconds,9.0,Heats,WC,Budapest,1,,Allan Ngitsi Chirwa,M         ,MAW
1464577,134418,2988039,19/08/2023,100m,outdoor,10.89,seconds,2.0,Single race,WC,Budapest,1,-0.8,Onisio Pereia,M         ,MOZ
1464577,134418,2988010,19/08/2023,100m,outdoor,11.09,seconds,8.0,Heats,WC,Budapest,1,0.0,Onisio Pereia,M         ,MOZ
1452109,142291,3148299,08/08/2024,Long Jump,outdoor,6.24,metres,12.0,Finals,OG,Paris,1,0.3,Prestina Ochonogor,W         ,NGR
1452109,142291,3147791,06/08/2024,Long Jump,outdoor,6.65,metres,7.0,Quarter-finals,OG,Paris,1,0.1,Prestina Ochonogor,W         ,NGR
1441632,134418,2988487,22/08/2023,800m,outdoor,113.63,seconds,8.0,Heats,WC,Budapest,1,,Hein Htet Aung,M         ,MYA
1434371,142291,3147061,02/08/2024,1500m,outdoor,219.67,seconds,14.0,Heats,OG,Paris,1,,Abdisa Fayisa,M         ,ETH
1434371,142291,3147136,03/08/2024,1500m,outdoor,216.82,seconds,10.0,Quarter-finals,OG,Paris,1,,Abdisa Fayisa,M         ,ETH
1405434,142291,3147491,05/08/2024,3000m Steeplechase,outdoor,500.52,seconds,8.0,Heats,OG,Paris,1,,Nicolas Daru,M         ,FRA
1387617,134418,2988027,19/08/2023,Discus Throw,outdoor,63.37,metres,17.0,Quarter-finals,WC,Budapest,1,,Steven Richter,M         ,GER
1384666,142291,3147060,02/08/2024,100m,outdoor,12.06,seconds,5.0,Single race,OG,Paris,1,0.0,Samira Awal,W         ,NIG
1370522,142291,3147153,04/08/2024,3000m Steeplechase,outdoor,550.57,seconds,2.0,Heats,OG,Paris,1,,Faith Cherotich,W         ,KEN
1370522,142291,3147928,06/08/2024,3000m Steeplechase,outdoor,535.15,seconds,3.0,Finals,OG,Paris,1,,Faith Cherotich,W         ,KEN
1370522,134418,2988571,23/08/2023,3000m Steeplechase,outdoor,559.55,seconds,1.0,Heats,WC,Budapest,1,,Faith Cherotich,W         ,KEN
1370522,134418,2989249,27/08/2023,3000m Steeplechase,outdoor,540.69,seconds,3.0,Finals,WC,Budapest,1,,Faith Cherotich,W         ,KEN
